
Image Name                     PID Session Name        Session#    Mem Usage
NisSrv.exe                    8352 Services                   0     10,832 K
HPSupportSolutionsFramewo     8648 Services                   0     16,712 K
msedgewebview2.exe            8924 Console                    1     36,588 K
msedgewebview2.exe            8980 Console                    1      6,828 K
svchost.exe                   9060 Console                    1     26,240 K
SecureLine.exe                7840 Console                    1      3,160 K
RuntimeBroker.exe              616 Console                    1     17,400 K
msedgewebview2.exe            4796 Console                    1     27,632 K
msedgewebview2.exe            2596 Console                    1     25,048 K
StartMenuExperienceHost.e     5772 Console                    1     31,960 K
msedgewebview2.exe            6808 Console                    1     19,736 K
SecurityHealthSystray.exe     8684 Console                    1      8,724 K
RtkNGUI64.exe                 8240 Console                    1     13,888 K
SecurityHealthService.exe     9232 Services                   0     15,004 K
OneDrive.exe                  9312 Console                    1     32,240 K
ChatGPT.exe                   9720 Console                    1     58,464 K
HPMSGSVC.exe                  9840 Console                    1      9,344 K
HPRadioMgr64.exe              9900 Console                    1      9,620 K
ChatGPT.exe                   7200 Console                    1     15,660 K
ChatGPT.exe                   9440 Console                    1     70,844 K
ChatGPT.exe                  10148 Console                    1     26,324 K
hpqwmiex.exe                  5496 Services                   0     10,348 K
svchost.exe                   3328 Services                   0     12,684 K
svchost.exe                   3868 Services                   0     10,660 K
svchost.exe                   7472 Services                   0     14,856 K
Aura.Service.exe              6516 Services                   0    202,108 K
Aura.App.exe                  9568 Console                    1     44,164 K
UnifiedSDK.Service.exe        5328 Services                   0     44,340 K
AuraDesktopCollectorServi     5672 Console                    1     17,332 K
svchost.exe                   9880 Services                   0      9,276 K
UserOOBEBroker.exe            4288 Console                    1      9,700 K
SystemSettings.exe           11408 Console                    1      1,508 K
ApplicationFrameHost.exe     11548 Console                    1     12,688 K
HPWMISVC.exe                 51692 Services                   0      6,072 K
svchost.exe                  51856 Services                   0     10,732 K
WUDFHost.exe                 50948 Services                   0      8,036 K
ShellExperienceHost.exe      51820 Console                    1     18,376 K
RuntimeBroker.exe             9456 Console                    1     14,496 K
svchost.exe                  53184 Services                   0      5,556 K
taskhostw.exe                52844 Console                    1     26,140 K
ChatGPT.exe                  54168 Console                    1    207,936 K
TextInputHost.exe            54308 Console                    1     24,276 K
hydra.exe                    29092 Services                   0     22,472 K
conhost.exe                  52748 Services                   0      5,516 K
CompPkgSrv.exe               50416 Console                    1      8,024 K
SDXHelper.exe                51524 Console                    1     18,512 K
FileCoAuth.exe               49168 Console                    1     20,644 K
dllhost.exe                  52036 Console                    1     10,932 K
WINWORD.EXE                  52796 Console                    1    176,112 K
aimgr.exe                    50308 Console                    1      9,948 K
ai.exe                       53448 Console                    1      8,760 K
msedgewebview2.exe           54208 Console                    1     52,724 K
cmd.exe                      55256 Console                    1      4,604 K
conhost.exe                  53980 Console                    1     12,264 K
svchost.exe                   4200 Services                   0      6,728 K
firefox.exe                  48456 Console                    1    173,772 K
dllhost.exe                  25976 Console                    1      8,268 K
crashhelper.exe              54908 Console                    1      6,688 K
firefox.exe                  53840 Console                    1    192,044 K
firefox.exe                  56144 Console                    1     13,252 K
firefox.exe                  52712 Console                    1    128,736 K
firefox.exe                  56064 Console                    1     20,020 K
firefox.exe                  54032 Console                    1    208,840 K
firefox.exe                  52460 Console                    1     13,296 K
firefox.exe                  56340 Console                    1     28,404 K
RuntimeBroker.exe            56552 Console                    1     13,080 K
firefox.exe                  56584 Console                    1     12,692 K
firefox.exe                  57256 Console                    1     13,056 K
firefox.exe                  53984 Console                    1     14,648 K
firefox.exe                  54440 Console                    1     14,272 K
svchost.exe                  53972 Services                   0     11,964 K
WmiPrvSE.exe                  6460 Services                   0     11,372 K
SearchProtocolHost.exe       55068 Console                    1      8,616 K
SearchFilterHost.exe         53932 Services                   0      7,756 K
tasklist.exe                 54300 Console                    1      9,736 K
